Borough,Neighbourhood,Latitude,Longitude,Zipcode,Restaurant_Count_Name,Restaurant_Count_Reviews,Restaurant_Count_Rating,Restaurant_Count_Price,Restaurant_Mean_Distance (m),Restaurant_Mean_Reviews,Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,Restaurant_Sum_Rating,Restaurant_Sum_Price,School_Count_Name,School_Mean_Reviews,School_Mean_Rating,School_Sum_Reviews,School_Sum_Rating,School_Sum_Price,Park_Count_Name,Park_Mean_Reviews,Park_Mean_Rating,Park_Sum_Reviews,Park_Sum_Rating,Transit_Count_Name,Transit_Mean_Reviews,Transit_Mean_Rating,Transit_Sum_Reviews,Transit_Sum_Rating,Grocery_Count_Name,Grocery_Mean_Reviews,Grocery_Mean_Rating,Grocery_Sum_Reviews,Grocery_Sum_Rating,Rat_Sum_Case Open?,Rat_Sum_Days Complaint Open,Rat_Count_Created Date,Rat_Count_Closed Date,Rat_Mean_Case Open?,Rat_Mean_Created Year,Rat_Mean_Created Month,Rat_Mean_Created Day,Rat_Mean_Closed Year,Rat_Mean_Closed Month,Rat_Mean_Closed Day,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Count_Ride Count,Uber_Mean_Month,Uber_Mean_Day,Uber_Mean_Ride Count
Bronx,Wakefield,40.89470518,-73.84720052,10466,23,0,8,22,741.6086957,,3.294117647,1.454545455,0,26.35294118,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Co-op City,40.87429419,-73.82993911,10475,25,0,18,25,749.6,,2.882352941,1.48,0,51.88235294,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Eastchester,40.88755568,-73.82780645,10466,25,0,24,25,554.44,,3.035947712,1.48,0,72.8627451,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Fieldston,40.89543743,-73.9056426,10471,25,0,16,24,875.12,,3.274509804,1.5,0,52.39215686,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Riverdale,40.89083449,-73.91258546,10463,25,0,23,25,633.56,,3.431372549,1.56,0,78.92156863,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Kingsbridge,40.88168737,-73.90281799,10463,25,0,25,25,532.28,,3.839215686,1.4,0,95.98039216,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan,Marble Hill,40.87655078,-73.91065966,10034,25,0,17,25,639.96,,3.343713956,1.28,0,56.84313725,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Woodlawn,40.89827261,-73.86731497,10466,80,59,66,61,595.8220565,212.8474576,3.638829471,1.278688525,12558,240.1627451,78,38,17.7,4.223333333,531,126.7,0,5,127.6,4.02,638,20.1,32,6.083333333,3.8,73,45.6,12,432.5,4.175,5190,50.1,7,1713,155,148,0.04516129,2016.154839,6.458064516,16.07096774,2016.337838,6.763513514,16.66216216,11.57432432,,,,,
Bronx,Norwood,40.87722416,-73.87939074,10458,25,0,14,25,552.36,,2.887955182,1.32,0,40.43137255,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Williamsbridge,40.88103888,-73.85744643,10467,25,0,4,20,672.16,,3.843137255,1.5,0,15.37254902,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Baychester,40.86685811,-73.8357976,10475,58,45,56,51,633.759419,608.3333333,3.361764706,1.568627451,27375,188.2588235,80,25,24.63636364,4.190909091,271,46.1,0,7,101.5,4.5,406,18,20,3.555555556,4.188888889,32,37.7,4,740.25,3.95,2961,15.8,3,180,16,13,0.1875,2014,7.0625,19.25,2014,8.461538462,14.46153846,13.84615385,,,,,
Bronx,Pelham Parkway,40.8574135,-73.85475564,10461,25,0,13,22,636.2,,3.328808446,1.227272727,0,43.2745098,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,City Island,40.8472467,-73.78648845,10464,45,34,38,35,459.0398263,994.5588235,3.949690402,2.085714286,33815,150.0882353,73,5,10.33333333,4.266666667,31,12.8,0,5,61.6,4.4,308,22,12,1,5,3,15,1,70,4.2,70,4.2,0,65,14,14,0,2017.785714,7.357142857,18.5,2017.785714,7.642857143,14.42857143,4.642857143,,,,,
Bronx,Bedford Park,40.87018516,-73.88551218,10467,25,0,13,24,539.04,,2.888386124,1.291666667,0,37.54901961,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,University Heights,40.85572708,-73.91041596,10453,24,0,3,12,625.2916667,,3.065359477,1.5,0,9.196078431,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Morris Heights,40.84789793,-73.91967159,10453,25,0,7,13,732.2,,2.691876751,1.230769231,0,18.84313725,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Fordham,40.8609968,-73.89642656,10468,25,0,18,23,747.68,,3.736383442,1.304347826,0,67.25490196,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,East Tremont,40.84269616,-73.88735618,10457,51,28,32,45,662.5262519,296.9642857,3.476776961,1.311111111,8315,111.2568627,59,21,16.2,3.755,324,75.1,0,21,334.0952381,4.057142857,7016,85.2,10,1.5,4.5,3,9,13,370.8461538,4.215384615,4821,54.8,29,3731,398,373,0.072864322,2016.452261,6.814070352,15.82914573,2016.581769,6.857908847,15.12868633,10.00268097,,,,,
Bronx,West Farms,40.83947506,-73.87774475,10460,25,0,5,22,501.84,,2.443137255,1.318181818,0,12.21568627,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,High  Bridge,40.83662301,-73.92610209,10452,25,0,8,20,678.56,,2.931372549,1.5,0,23.45098039,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Melrose,40.81975437,-73.90942161,10455,53,35,42,47,653.0954,232.8285714,3.78636788,1.382978723,8149,159.027451,65,9,16.125,4.05,129,32.4,0,12,319.25,3.908333333,3831,46.9,12,16,3.733333333,96,22.4,14,400.9285714,4.128571429,5613,57.8,23,3095,243,224,0.094650206,2016.703704,6.765432099,16.32098765,2016.991071,7.075892857,15.89285714,13.81696429,,,,,
Bronx,Mott Haven,40.80623875,-73.91609987,10454,25,0,12,24,678.72,,3.281045752,1.375,0,39.37254902,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Port Morris,40.80166363,-73.91322139,10454,73,53,56,55,645.1616449,138.3584906,4.01337535,1.472727273,7333,224.7490196,81,28,12.72727273,4.231818182,280,93.1,0,18,88.84615385,4.184615385,1155,54.4,19,14.125,4.025,113,32.2,5,392,3.98,1960,19.9,17,1164,196,181,0.086734694,2017.107143,6.423469388,15.55612245,2017.486188,6.364640884,16.06629834,6.430939227,,,,,
Bronx,Longwood,40.81509905,-73.8957882,10459,23,0,9,23,641.5217391,,3.204793028,1.260869565,0,28.84313725,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Hunts Point,40.80972988,-73.88331506,10474,60,39,41,30,647.7076823,92.20512821,3.944619799,1.433333333,3596,161.7294118,43,14,11.28571429,4.185714286,79,29.3,0,8,222,4.485714286,1554,31.4,15,4.333333333,3.166666667,13,9.5,9,80,4.157142857,560,29.1,6,743,108,102,0.055555556,2017.148148,6.824074074,15.39814815,2017.04902,6.588235294,16.53921569,7.284313725,1,1,5,18,1
Bronx,Morrisania,40.82359199,-73.90150649,10459,23,0,8,22,699.7826087,,3.362745098,1.5,0,26.90196078,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Soundview,40.8210122,-73.8657461,10473,23,0,12,22,536.5217391,,2.549019608,1.181818182,0,30.58823529,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Clason Point,40.80655112,-73.85414416,10473,7,0,0,3,780.2857143,,,1.666666667,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Throgs Neck,40.81510926,-73.81635002,10465,20,0,8,14,660.05,,3.519607843,1.571428571,0,28.15686275,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Country Club,40.84424594,-73.82409927,10461,25,0,18,25,668.96,,3.248366013,1.6,0,58.47058824,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Parkchester,40.83793782,-73.85600311,10462,25,0,13,22,580.32,,2.870286576,1.636363636,0,37.31372549,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Westchester Square,40.8406195,-73.84219408,10461,25,0,17,24,455.16,,3.099192618,1.375,0,52.68627451,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Van Nest,40.84360847,-73.86629918,10460,54,32,42,46,533.495387,231.5,3.511437908,1.369565217,7408,147.4803922,63,22,16.70588235,4.011764706,284,68.2,0,21,83.66666667,4.180952381,1757,87.8,28,8.916666667,4.266666667,107,51.2,12,212.5454545,4.045454545,2338,44.5,22,2317,273,252,0.080586081,2016.490842,6.186813187,15.01465201,2016.710317,6.523809524,15.25,9.194444444,1,1,7,27,1
Bronx,Morris Park,40.84754906,-73.85040178,10461,25,0,18,23,626.76,,3.091503268,1.47826087,0,55.64705882,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Belmont,40.8572771,-73.88845196,10458,82,64,81,75,589.7970135,322.09375,4.038247398,1.573333333,20614,327.0980392,118,22,20,3.815789474,380,72.5,0,28,183.962963,4.077777778,4967,110.1,38,7.565217391,4.126086957,174,94.9,12,287.6363636,3.972727273,3164,43.7,35,5186,465,433,0.075268817,2016.070968,6.367741935,15.35053763,2016.311778,6.598152425,15.72286374,11.97690531,2,2,8,14,1
Bronx,Spuyten Duyvil,40.88139498,-73.91719048,10463,86,71,77,77,770.6330258,415.5070423,3.798395722,1.649350649,29501,292.4764706,127,33,17.45833333,3.929166667,419,94.3,0,32,85.84615385,4.288461538,2232,111.5,44,3.411764706,3.864705882,58,65.7,11,843.6363636,4.1,9280,45.1,25,2621,249,225,0.100401606,2017.851406,6.53815261,16.73092369,2017.795556,6.777777778,16.40888889,11.64888889,3,3,7.666666667,16.66666667,1
Bronx,North Riverdale,40.90854283,-73.90453055,10471,62,49,54,53,524.2815712,197.1836735,3.814669572,1.566037736,9662,205.9921569,83,28,10.05555556,4.527777778,181,81.5,0,17,178.5454545,3.909090909,1964,43,27,2.6,4.86,13,24.3,3,233.6666667,3.9,701,11.7,4,511,44,40,0.090909091,2018.522727,6.477272727,14.20454545,2018.75,6.95,14.9,12.775,6,6,7,6.333333333,1
Bronx,Pelham Bay,40.85064141,-73.83207378,10461,117,104,114,101,584.6455097,325.5192308,3.951014792,1.574257426,33854,450.4156863,159,46,14.03571429,4.25,393,119,0,18,74.46153846,4.484615385,968,58.3,56,5.272727273,4.154545455,116,91.4,5,604.6,4.18,3023,20.9,3,1153,111,109,0.027027027,2016.945946,6.36036036,15.6036036,2017.119266,6.155963303,16.0733945,10.57798165,,,,,
Bronx,Schuylerville,40.82657952,-73.82620276,10465,25,0,20,23,486.88,,3.411764706,1.391304348,0,68.23529412,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Edgewater Park,40.82198612,-73.81388514,10465,87,71,80,73,623.8995393,297.1408451,3.649901961,1.630136986,21097,291.9921569,119,30,11.61111111,4.3,209,77.4,0,12,64.72727273,4.318181818,712,47.5,55,1.428571429,3.714285714,10,26,3,376,4.2,1128,12.6,5,1242,86,81,0.058139535,2015.72093,6.906976744,16.40697674,2015.962963,7.185185185,17.30864198,15.33333333,,,,,
Bronx,Castle Hill,40.81901438,-73.8480273,10473,53,36,42,34,781.9793772,241.75,3.373436041,1.529411765,8703,141.6843137,52,33,11.63636364,3.977272727,256,87.5,0,18,305.0714286,4.457142857,4271,62.4,50,21.63636364,3.654545455,476,80.4,8,366.25,3.95,2930,31.6,7,1028,119,113,0.058823529,2017.10084,6.966386555,15.58823529,2017.212389,6.982300885,14.97345133,9.097345133,,,,,
Bronx,Olinville,40.87137078,-73.86332362,10467,24,0,11,22,561.5833333,,3.381461676,1.181818182,0,37.19607843,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Pelham Gardens,40.86296562,-73.84161195,10469,25,0,7,22,669.48,,3.196078431,1.409090909,0,22.37254902,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Concourse,40.83428381,-73.91558942,10452,25,0,8,22,693.24,,2.794117647,1.363636364,0,22.35294118,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Unionport,40.8297743,-73.85053524,10472,48,29,40,44,720.5627685,596.2068966,3.481666667,1.590909091,17290,139.2666667,70,16,14.33333333,3.666666667,172,44,0,11,293.6,4.18,2936,41.8,6,5,4.6,5,4.6,6,538.1666667,4.133333333,3229,24.8,19,2734,343,325,0.055393586,2017.632653,6.924198251,15.58017493,2017.744615,7.083076923,15.78461538,8.412307692,,,,,
Bronx,Edenwald,40.8845613,-73.84808272,10469,89,68,72,67,730.3763156,278.8235294,3.553404139,1.447761194,18960,255.845098,97,33,13.875,4.020833333,333,96.5,0,15,99.83333333,3.783333333,1198,45.4,50,4,4.5,52,58.5,7,899.5714286,4.114285714,6297,28.8,16,1620,184,168,0.086956522,2016.092391,6.967391304,16.32065217,2016.369048,7.226190476,16.24404762,9.642857143,,,,,
Brooklyn,Bay Ridge,40.62580107,-74.03062069,11209,25,0,25,25,562.64,,3.760784314,1.92,0,94.01960784,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Bensonhurst,40.6110089,-73.99517998,11214,25,0,17,22,654.72,,3.186851211,1.363636364,0,54.17647059,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Sunset Park,40.64510295,-74.01031619,11220,47,30,46,46,584.041121,403.7333333,3.865174766,1.369565217,12112,177.7980392,63,20,10.58333333,4.2,127,50.4,2,3,2192.5,4.3,4385,8.6,17,8.545454545,4.009090909,94,44.1,19,243.6875,4.1,3899,65.6,37,4079,298,261,0.124161074,2018.580537,6.570469799,14.76845638,2018.777778,6.992337165,15.49042146,15.62835249,12,12,7.833333333,15.66666667,1
Brooklyn,Greenpoint,40.73020098,-73.95424093,11222,59,40,59,58,359.6518027,440.675,4.343436358,1.810344828,17627,256.2627451,105,19,15.09090909,4.636363636,166,51,0,19,496.1428571,4.621428571,6946,64.7,15,16.66666667,3.933333333,50,11.8,9,153.8888889,4.355555556,1385,39.2,32,4251,318,285,0.100628931,2016.996855,6.537735849,16.08805031,2016.919298,6.785964912,16.36491228,14.91578947,156,156,6.923076923,15.87820513,1
Brooklyn,Gravesend,40.59526001,-73.97347088,11223,88,70,75,71,597.8824311,435.3142857,3.961856209,1.577464789,30472,297.1392157,112,30,24.61111111,3.944444444,443,71,0,14,64.36363636,4.436363636,708,48.8,23,8.333333333,4,25,12,12,179.1818182,4.318181818,1971,47.5,15,1008,108,93,0.138888889,2016.768519,6.509259259,15.87037037,2016.827957,6.559139785,17,10.83870968,,,,,
Brooklyn,Brighton Beach,40.57682507,-73.96509449,11235,25,0,14,20,338.96,,3.268907563,1.75,0,45.76470588,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Sheepshead Bay,40.58689013,-73.9431864,11235,25,0,25,24,602.44,,3.293333333,1.833333333,0,82.33333333,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Manhattan Terrace,40.61443251,-73.95743841,11230,25,0,15,23,529.72,,3.274509804,1.608695652,0,49.11764706,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Flatbush,40.63632589,-73.95840107,11218,29,4,29,28,751.72,282,3.658350237,1.785714286,1128,106.0921569,50,15,17.7,4.39,177,43.9,0,11,128.1,4.21,1281,42.1,9,1,5,1,5,3,360.3333333,4.033333333,1081,12.1,17,1454,128,112,0.1328125,2016.4375,6.5,16.859375,2016.5,6.758928571,17.41071429,12.98214286,,,,,
Brooklyn,Crown Heights,40.67082918,-73.94329119,11225,25,0,25,25,763.44,,3.763921569,1.6,0,94.09803922,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,East Flatbush,40.64171777,-73.93610256,11203,18,0,3,11,562.8333333,,3.013071895,2.090909091,0,9.039215686,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Kensington,40.64238196,-73.98042111,11218,25,0,21,25,551.72,,3.364145658,1.24,0,70.64705882,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Windsor Terrace,40.65694584,-73.9800734,11218,25,0,25,25,654.24,,4.090196078,1.44,0,102.254902,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Prospect Heights,40.67682226,-73.96485924,11238,25,0,25,24,361.2,,4.391372549,1.958333333,0,109.7843137,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Brownsville,40.66394994,-73.91023536,11212,70,51,54,49,576.3485016,141.1960784,3.628685548,1.224489796,7201,195.9490196,60,27,13.84210526,4.147368421,263,78.8,0,25,110.375,4.2375,1766,67.8,28,1.166666667,4.166666667,7,25,18,227.3529412,3.835294118,3865,65.2,20,3491,263,245,0.076045627,2016.520913,7.019011407,15.58174905,2016.387755,7.155102041,15.22040816,14.24897959,4,4,6.5,11.25,1
Brooklyn,Williamsburg,40.70714439,-73.95811529,11211,25,0,25,25,633.72,,4.441568627,2,0,111.0392157,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Bushwick,40.69811611,-73.92525797,11221,43,20,43,40,474.5795396,227.25,4.190241678,1.6,4545,180.1803922,64,17,16.69230769,4.115384615,217,53.5,0,14,23.75,4.216666667,285,50.6,22,4.4,4.32,44,43.2,17,291.0588235,4.082352941,4948,69.4,59,9344,827,769,0.071342201,2016.645707,6.680773881,16.38573156,2016.712614,6.827048114,15.4083225,12.15084525,28,28,7.714285714,14.07142857,1
Brooklyn,Bedford Stuyvesant,40.68723161,-73.94178489,11216,69,47,69,63,733.0791816,261.0638298,4.174367718,1.603174603,12270,288.0313725,101,13,13.88888889,3.911111111,125,35.2,0,16,293.9166667,4.341666667,3527,52.1,8,1,5,1,5,17,343.375,3.98125,5494,63.7,51,9866,806,757,0.063275434,2017.490074,6.669975186,15.25558313,2017.478203,6.801849406,15.84412153,13.0330251,35,35,7.114285714,15.85714286,1
Brooklyn,Brooklyn Heights,40.69586372,-73.99378225,11201,25,0,25,25,534.84,,4.397647059,2.16,0,109.9411765,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Cobble Hill,40.68791972,-73.99856139,11201,25,0,25,25,423.2,,4.36627451,2,0,109.1568627,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Carroll Gardens,40.68054023,-73.99465373,11201,25,0,25,24,438.96,,4.413333333,1.958333333,0,110.3333333,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Red Hook,40.67625323,-74.01275897,11231,78,62,78,69,488.6277464,430.9516129,4.161664153,1.768115942,26719,324.6098039,122,24,20.05555556,3.955555556,361,71.2,0,31,135.9259259,4.496296296,3670,121.4,37,14.95,3.48,299,69.6,8,138.125,3.975,1105,31.8,22,1580,158,134,0.139240506,2017.613924,6.626582278,16.01265823,2017.865672,6.753731343,15.97014925,11.79104478,117,117,6.991452991,17.33333333,1
Brooklyn,Gowanus,40.67393114,-73.99444087,11215,25,0,25,24,614.64,,4.444705882,1.75,0,111.1176471,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Fort Greene,40.68852726,-73.97290574,11205,48,27,48,46,363.468469,476.6666667,4.238684641,1.956521739,12870,203.4568627,90,16,15,3.827272727,165,42.1,0,14,512.7692308,4.369230769,6666,56.8,18,1,4,2,8,8,600,4.2375,4800,33.9,22,5036,338,314,0.065088757,2017.393491,6.872781065,16.33136095,2017.573248,7.213375796,15.14649682,16.03821656,120,120,6.941666667,17.26666667,1
Brooklyn,Park Slope,40.67232052,-73.9770503,11215,87,69,87,84,601.1109364,494.5362319,4.238269101,1.80952381,34123,368.7294118,152,40,25.82758621,4.593103448,749,133.2,0,24,106.1904762,4.40952381,2230,92.6,27,6.666666667,3.783333333,40,22.7,16,355.9375,4.15,5695,66.4,40,7793,480,440,0.083333333,2017.6125,6.472916667,15.71041667,2017.775,6.95,16.28181818,17.71136364,153,153,7.117647059,16.97385621,1
Brooklyn,Cypress Hills,40.68239101,-73.87661596,11208,84,68,71,72,519.5267375,270.8235294,3.647694007,1.263888889,18416,258.9862745,91,46,27.25,4,872,128,0,33,244.3,4.315,4886,86.3,49,12.31578947,4.073684211,234,77.4,25,194.4,4.096,4860,102.4,48,3116,298,249,0.161073826,2016.731544,6.647651007,15.77181208,2016.686747,6.903614458,16.31726908,12.51405622,,,,,
Brooklyn,East New York,40.6699257,-73.88069864,11207,25,0,3,18,702.68,,2.620915033,1.388888889,0,7.862745098,25,,,,,,,,,,,,,,,,,,,,,,0,8,1,1,0,2011,2,22,2011,3,2,8,,,,,
Brooklyn,Starrett City,40.64758905,-73.8793697,11207,25,0,14,19,721.8,,3.151260504,1.684210526,0,44.11764706,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Canarsie,40.63556433,-73.9020927,11236,25,0,11,24,659.12,,2.625668449,1.791666667,0,28.88235294,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Flatlands,40.63044604,-73.92911303,11236,25,0,11,24,626.28,,2.796791444,1.541666667,0,30.76470588,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Mill Island,40.60633642,-73.90818572,11234,16,0,5,11,864.9375,,3.243137255,1.363636364,0,16.21568627,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Manhattan Beach,40.5779135,-73.94353723,11235,25,0,21,23,723.56,,3.084033613,1.782608696,0,64.76470588,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Coney Island,40.57429256,-73.98868296,11224,25,0,19,21,632.96,,2.940144479,1.476190476,0,55.8627451,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Bath Beach,40.5995187,-73.99875221,11214,78,57,68,66,608.5508293,298.7192982,3.859775087,1.575757576,17027,262.4647059,104,25,28.05,4.09,561,81.8,0,12,340.5454545,4.454545455,3746,49,19,1.2,4.2,6,21,25,309.76,4.044,7744,101.1,10,1302,126,116,0.079365079,2016.253968,6.484126984,16.20634921,2016.258621,6.767241379,15.23275862,11.22413793,,,,,
Brooklyn,Borough Park,40.63313051,-73.99049823,11219,66,45,51,55,658.0252401,209.9333333,3.993540946,1.545454545,9447,203.6705882,85,29,22.5,4.375,450,87.5,0,9,205.4285714,4.242857143,1438,29.7,25,1.142857143,4.5,8,31.5,25,238,4.3,5712,103.2,26,2035,218,192,0.119266055,2017.325688,6.922018349,15.42201835,2017.34375,7.166666667,15.41666667,10.59895833,1,1,6,13,1
