Neighbourhood,Distance (m),Zipcode,Reviews,Rating,Price,Latitude,Longitude
Borough Park,0.0,415108.0,5330.0,119.3,0.0,1503.5424243,-2737.1246733999997
Bronx Park and Fordham,0.0,732456.0,15136.0,246.0,0.0,2860.7708779,-5171.931856
Bushwick and Williamsburg,0.0,448636.0,4666.0,161.3,0.0,1668.8009355,-3031.3071073
Canarsie and Flatlands,0.0,280877.0,6381.0,86.0,0.0,1015.5799588,-1847.6613868
Central Brooklyn (Bedford Stuyvesant â€“ Crown Heights),0.0,1122355.0,17250.0,323.8,0.0,4067.4754181999997,-7393.3621473
Central Harlem,0.0,391129.0,11167.0,154.6,0.0,1591.6954458999999,-2884.0882713
Central Queens,0.0,352346.0,6780.0,110.8,0.0,1262.6435925,-2287.7726973
Chelsea and Clinton,0.0,791113.0,147734.0,278.7,2.0,3219.4409115999997,-5845.5604652
Crotona and Tremont,0.0,679676.0,11800.0,259.6,0.0,2654.9975199,-4803.319603
East Harlem,0.0,341034.0,7017.0,136.5,0.0,1386.9456544,-2514.0360756
East New York and New Lots,0.0,840558.0,6877.0,188.3,0.0,3050.5169984,-5541.3775104999995
Flatbush,0.0,516041.0,15593.0,172.2,0.0,1869.9172474,-3401.798422
Gramercy Park and Murray Hill,0.0,580955.0,28669.0,188.8,0.0,2363.4919343,-4290.4405626
Greenpoint,0.0,583181.0,14132.0,201.2,2.0,2117.3861016,-3845.6267387
Greenwich Village and Soho,0.0,460609.0,37789.0,187.3,7.0,1873.5141211,-3404.2373841
HighBridge and Morrisania,0.0,606291.0,7143.0,217.7,0.0,2368.2490524,-4287.1284608
Hunts Point and Mott Haven,0.0,575227.0,8511.0,190.1,0.0,2244.8223462,-4064.7012981999997
Inwood and Washington Heights,0.0,591986.0,16706.0,205.8,0.0,2410.0685625,-4362.2366904
Jamaica,0.0,525834.0,5404.0,147.7,0.0,1872.3379878,-3394.2984868999997
Kingsbridge and Riverdale,0.0,512823.0,4196.0,154.5,0.0,2003.4290287,-3621.4760914999997
Long Island City and Astoria,0.0,754968.0,13129.0,256.8,0.0,2771.4684278,-5027.4665072
Lower Manhattan,0.0,262404.0,103837.0,114.5,0.0,1058.4727178,-1924.2575239999999
Mid-Island (Willowbrook),0.0,247536.0,3121.0,90.1,0.0,974.4419240999999,-1779.6314201999999
North Queens,0.0,726790.0,8705.0,223.9,0.0,2609.2706347999997,-4724.2068939
Northeast Bronx,0.0,335040.0,2361.0,105.7,0.0,1308.1000503,-2363.1090636
Northeast Queens,0.0,238626.0,2497.0,79.4,0.0,855.9173708,-1548.7632221
Northwest Brooklyn ,0.0,1502544.0,68142.0,532.8,2.0,5451.7792506999995,-9914.3888451
Pelham and Throgs Neck,0.0,837296.0,10287.0,292.9,0.0,3266.6978093,-5907.4894834
Port Richmond,0.0,185467.0,1296.0,68.8,0.0,731.4061002999999,-1334.6108789999998
Rockaways,0.0,853566.0,7464.0,264.0,0.0,2963.0794103,-5387.7887171
South Beach and Tottenville,0.0,309192.0,4137.0,120.6,0.0,1216.7809843,-2224.3871563
Southeast Queens,0.0,363399.0,4416.0,105.7,0.0,1302.6525599,-2359.5361543999998
Southern Brooklyn,0.0,752292.0,44386.0,236.5,0.0,2719.2749365,-4955.8767338
Southwest Brooklyn,0.0,426154.0,11144.0,139.8,0.0,1543.2771134,-2812.7105561
Southwest Queens,0.0,513781.0,4117.0,157.9,0.0,1830.9293672,-3322.8467885
Stapleton and St. George,0.0,896351.0,15523.0,336.7,0.0,3533.8989012,-6445.3435795
Sunset Park,0.0,33684.0,4385.0,8.6,0.0,121.95008089999997,-222.02432649999997
Union Square and Lower East Side,0.0,430243.0,29594.0,169.29999999999998,0.0,1751.1497075,-3181.2596086999997
Upper East Side,0.0,492509.0,10835.0,153.7,0.0,1997.7042427,-3623.7461951
Upper West Side,0.0,571372.0,20685.0,228.6,0.0,2324.8327457,-4216.4635274
West Central Queens,0.0,500678.0,7137.0,151.1,0.0,1791.4961495,-3250.1288608
West Queens,0.0,1216918.0,11188.0,360.1,0.0,4359.8375438,-7905.6916092
